epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6418,1.47723,2.6782,1.58587,0.00055,0.07783,0.00028,5e-05,4.09832,inf,475.587,0.0775,0.0025,0.0025
2,79.7075,1.69139,1.85042,1.7724,0,0,0,0,3.43707,inf,81.4204,0.0540495,0.00504951,0.00504951
3,103.422,1.58083,1.68073,1.6674,9e-05,0.02358,5e-05,2e-05,3.16531,inf,14.8159,0.0305475,0.00754754,0.00754754
4,127.32,1.49295,1.53002,1.61505,0.00138,0.35613,0.00096,0.00034,3.18503,inf,4.28706,0.009703,0.009703,0.009703
5,152.167,1.48364,1.43614,1.58842,0.00777,0.01651,0.00272,0.00069,3.18109,85.4009,4.0743,0.009604,0.009604,0.009604
6,181.897,1.43549,1.39507,1.56566,0.10214,0.35377,0.08231,0.03707,1.9541,7.79574,2.02139,0.009505,0.009505,0.009505
7,207.473,1.47143,1.35459,1.57323,0.10183,0.08019,0.04493,0.02495,2.38605,4.3298,4.48316,0.009406,0.009406,0.009406
8,232.073,1.47763,1.34504,1.65571,0.11905,0.19104,0.10919,0.06587,1.81653,5.17989,2.27782,0.009307,0.009307,0.009307
9,257.515,1.36477,1.30303,1.51458,0.49834,0.35849,0.35471,0.19751,1.95025,2.48462,2.51119,0.009208,0.009208,0.009208
10,283.059,1.27443,1.24609,1.43181,0.68005,0.62663,0.68486,0.42687,1.32235,1.43508,1.56191,0.009109,0.009109,0.009109
11,308.318,1.34121,1.21415,1.4844,0.46282,0.52832,0.44691,0.2639,1.41033,3.08187,1.6204,0.00901,0.00901,0.00901
12,335.717,1.27007,1.29558,1.41962,0.70455,0.50617,0.6145,0.3576,1.6238,1.57059,1.81251,0.008911,0.008911,0.008911
13,361.93,1.34928,1.19067,1.49386,0.80347,0.74243,0.81317,0.55333,1.20278,1.13323,1.43024,0.008812,0.008812,0.008812
14,386.98,1.2436,1.09232,1.42158,0.65593,0.4434,0.4928,0.29599,1.62677,2.09398,1.71249,0.008713,0.008713,0.008713
15,412.241,1.24694,1.09054,1.41284,0.816,0.67925,0.75865,0.49792,1.29146,1.23275,1.43764,0.008614,0.008614,0.008614
16,438.921,1.22042,1.07606,1.37547,0.81469,0.64285,0.75659,0.50005,1.23517,1.25451,1.40409,0.008515,0.008515,0.008515
17,463.972,1.24923,1.06025,1.41935,0.76967,0.54245,0.64348,0.34328,1.58736,1.53974,1.74087,0.008416,0.008416,0.008416
18,489.133,1.24447,1.05257,1.41416,0.80286,0.52827,0.6565,0.41923,1.52512,1.94513,1.68861,0.008317,0.008317,0.008317
