epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3711,2.8501,4.83699,2.74905,0.00053,0.15873,0.00031,5e-05,3.13723,5.15564,3.02158,0.0982,0.0002,0.0002
2,21.5021,2.93059,5.04872,2.84783,0.00058,0.1746,0.00038,9e-05,2.94363,5.33987,2.90801,0.095495,0.00049505,0.00049505
3,24.5022,2.81503,4.89198,2.7002,0.00074,0.22222,0.0005,7e-05,2.93886,5.30879,2.8829,0.0927842,0.00078416,0.00078416
4,27.7428,2.97956,4.85379,2.93471,0.00328,0.98413,0.01776,0.00554,2.67081,3.41254,1.97539,0.0900673,0.00106733,0.00106733
5,31.3297,2.45303,3.69591,2.47877,0.00259,0.77778,0.00235,0.00092,2.25928,3.97612,2.95207,0.0873446,0.00134456,0.00134456
6,34.7471,2.2955,3.51778,2.22393,0.00396,0.90476,0.00416,0.0023,1.90427,4.55816,2.22755,0.0846159,0.00161585,0.00161585
7,38.3185,2.33497,2.95448,2.34311,0.00323,0.96825,0.00992,0.0035,2.67225,3.09348,4.80989,0.0818812,0.0018812,0.0018812
8,41.863,2.28886,2.95223,2.2904,0.01053,0.01587,0.00075,0.00019,4.98554,4.44511,17.8604,0.0791406,0.00214061,0.00214061
9,45.3062,2.12471,2.75528,2.22227,0,0,0,0,nan,nan,nan,0.0763941,0.00239408,0.00239408
10,48.9464,2.12333,2.68356,2.26661,0,0,0,0,nan,nan,nan,0.0736416,0.00264161,0.00264161
11,52.6358,2.35841,2.69748,2.54582,0,0,0,0,nan,nan,nan,0.0708832,0.0028832,0.0028832
12,56.2668,2.14223,2.66435,2.34973,0,0,0,0,nan,nan,nan,0.0681189,0.00311885,0.00311885
13,60.2101,2.19577,2.62647,2.33927,0,0,0,0,nan,nan,nan,0.0653486,0.00334856,0.00334856
14,64.1478,1.93088,2.67139,2.15409,0,0,0,0,nan,nan,nan,0.0625723,0.00357233,0.00357233
